"location_id","location_name","latitude","longitude","elevation","parent_location_id"
"167","PLOT__PB358",44.20562494,-122.11538376,1310,NA
"168","PLOT__PC001",44.20664191,-122.2571511,459,NA
"169","PLOT__PC002",44.21401836,-122.24967644,488,NA
"170","PLOT__PC004",44.21742613,-122.26077333,481,NA
"171","PLOT__PC005",44.2195,-122.2578,643,NA
"172","PLOT__PC006",NA,NA,NA,NA
"173","PLOT__PC007",44.22218859,-122.20252664,903,NA
"174","PLOT__PC008",44.2353033,-122.1911378,647,NA
"175","PLOT__PC009",44.22717245,-122.12174888,979,NA
"176","PLOT__PC010",44.24209415,-122.14276865,994,NA
"177","PLOT__PC011",44.25067222,-122.15130105,1116,NA
"178","PLOT__PC012",44.24627228,-122.15895568,1081,NA
"179","PLOT__PC013",44.24924626,-122.13622203,1178,NA
"180","PLOT__PC014",44.25911944,-122.15925,965,NA
"181","PLOT__PC015",44.26621172,-122.17020059,971,NA
"182","PLOT__PC016",44.26749545,-122.17786922,1030,NA
"183","PLOT__PC017",44.27312824,-122.1369729,1302,NA
"184","PLOT__PC018",44.27447074,-122.13525278,1334,NA
